RecordId,Time,Provider,Level,EventId,Message
66,6/23/2025 1:49:04 PM,Microsoft-Windows-WMI-Activity,2,5858,Id = {688EFBCC-84BB-4B54-B54A-62FE61E7AB65}; ClientMachine = DESKTOP-CJNBGDQ; User = DESKTOP-CJNBGDQ\Administrator; ClientProcessId = 7528; Component = Provider; Operation = Start IWbemServices::ExecMethod - Root\Microsoft\Windows\TaskScheduler : PS_ScheduledTask::DisableByObject; ResultCode = 0x80041001; PossibleCause = Unknown
67,6/23/2025 1:49:04 PM,Microsoft-Windows-WMI-Activity,2,5858,Id = {57485BDB-A3CF-4FF9-9C6F-5BF82C097BA0}; ClientMachine = DESKTOP-CJNBGDQ; User = DESKTOP-CJNBGDQ\Administrator; ClientProcessId = 7528; Component = Provider; Operation = Start IWbemServices::ExecMethod - Root\Microsoft\Windows\TaskScheduler : PS_ScheduledTask::DisableByObject; ResultCode = 0x80041001; PossibleCause = Unknown
42,6/23/2025 1:45:47 PM,Microsoft-Windows-WMI-Activity,2,5858,Id = {F397E853-4916-43A2-A43B-0B3F4387B9E1}; ClientMachine = DESKTOP-CJNBGDQ; User = DESKTOP-CJNBGDQ\Administrator; ClientProcessId = 7724; Component = Provider; Operation = Start IWbemServices::ExecMethod - Root\Microsoft\Windows\TaskScheduler : PS_ScheduledTask::DisableByObject; ResultCode = 0x80041001; PossibleCause = Unknown
68,6/23/2025 1:49:04 PM,Microsoft-Windows-WMI-Activity,2,5858,Id = {577169AA-3EED-4F61-AD0E-C426FEF3F29C}; ClientMachine = DESKTOP-CJNBGDQ; User = DESKTOP-CJNBGDQ\Administrator; ClientProcessId = 7528; Component = Provider; Operation = Start IWbemServices::ExecMethod - Root\Microsoft\Windows\TaskScheduler : PS_ScheduledTask::DisableByObject; ResultCode = 0x80041001; PossibleCause = Unknown
41,6/23/2025 1:45:47 PM,Microsoft-Windows-WMI-Activity,2,5858,Id = {CED25092-51C6-4B82-A9EC-85416074DF18}; ClientMachine = DESKTOP-CJNBGDQ; User = DESKTOP-CJNBGDQ\Administrator; ClientProcessId = 7724; Component = Provider; Operation = Start IWbemServices::ExecMethod - Root\Microsoft\Windows\TaskScheduler : PS_ScheduledTask::DisableByObject; ResultCode = 0x80041001; PossibleCause = Unknown
39,6/23/2025 1:45:47 PM,Microsoft-Windows-WMI-Activity,2,5858,Id = {72C9EB92-8255-456C-B525-E59A1BC10928}; ClientMachine = DESKTOP-CJNBGDQ; User = DESKTOP-CJNBGDQ\Administrator; ClientProcessId = 7724; Component = Provider; Operation = Start IWbemServices::ExecMethod - Root\Microsoft\Windows\TaskScheduler : PS_ScheduledTask::DisableByObject; ResultCode = 0x80041001; PossibleCause = Unknown
6,6/23/2025 1:04:15 AM,Microsoft-Windows-WMI-Activity,2,5858,Id = {00000000-0000-0000-0000-000000000000}; ClientMachine = DESKTOP-CJNBGDQ; User = NT AUTHORITY\SYSTEM; ClientProcessId = 4436; Component = Unknown; Operation = Start IWbemServices::ExecQuery - ROOT\CIMV2 : select ChassisTypes from Win32_SystemEnclosure; ResultCode = 0x80041032; PossibleCause = Unknown
8,6/23/2025 1:04:15 AM,Microsoft-Windows-WMI-Activity,2,5858,Id = {00000000-0000-0000-0000-000000000000}; ClientMachine = DESKTOP-CJNBGDQ; User = NT AUTHORITY\SYSTEM; ClientProcessId = 4436; Component = Unknown; Operation = Start IWbemServices::ExecQuery - root\CIMV2\security\microsofttpm : SELECT ManufacturerIdTxt FROM win32_tpm; ResultCode = 0x80041032; PossibleCause = Unknown
10,6/23/2025 1:04:15 AM,Microsoft-Windows-WMI-Activity,2,5858,Id = {00000000-0000-0000-0000-000000000000}; ClientMachine = DESKTOP-CJNBGDQ; User = NT AUTHORITY\SYSTEM; ClientProcessId = 4436; Component = Unknown; Operation = Start IWbemServices::ExecQuery - root\Microsoft\Windows\DeviceGuard : SELECT SecurityServicesRunning FROM Win32_DeviceGuard ; ResultCode = 0x80041032; PossibleCause = Unknown
11,6/23/2025 1:04:15 AM,Microsoft-Windows-WMI-Activity,2,5858,Id = {00000000-0000-0000-0000-000000000000}; ClientMachine = DESKTOP-CJNBGDQ; User = NT AUTHORITY\SYSTEM; ClientProcessId = 4436; Component = Unknown; Operation = Start IWbemServices::ExecQuery - root\Microsoft\Windows\DeviceGuard : SELECT RequiredSecurityProperties FROM Win32_DeviceGuard ; ResultCode = 0x80041032; PossibleCause = Unknown
