x86 Windows 10 and							
File name	File version	File size	Date	Time	Platform	SP requirement	Service branch
Tpm.sys	Not applicable	2,999	8-Oct-20	7:14	Not applicable	None	Not applicable
Tpm.sys	Not applicable	2,980	8-Oct-20	7:14	Not applicable	None	Not applicable
Tsprint-datafile.dat	Not applicable	49	8-Oct-20	7:14	Not applicable	SPR	X86_DUAL_TSP
Tsprint-pipelineconfig.xml	Not applicable	49	8-Oct-20	7:14	Not applicable	SPR	X86_DUAL_TSP
Tsprint.dll	Not applicable	2,533	8-Oct-20	7:14	Not applicable	SPR	X86_DUAL_TSP
Tsprint.dll	Not applicable	2,274	8-Oct-20	7:14	Not applicable	SPR	X86_DUAL_TSP
Tsusbhub.sys	Not applicable	1,813	8-Oct-20	7:14	Not applicable	None	Not applicable
Tsusbhub.sys	Not applicable	1,715	8-Oct-20	7:14	Not applicable	None	Not applicable
Usbccgp.sys	Not applicable	3,351	8-Oct-20	7:14	Not applicable	None	Not applicable
Usbccgp.sys	Not applicable	3,533	8-Oct-20	7:14	Not applicable	None	Not applicable
Usbhub3.sys	Not applicable	6,129	8-Oct-20	7:14	Not applicable	None	Not applicable
Usbhub3.sys	Not applicable	4,305	8-Oct-20	7:14	Not applicable	None	Not applicable
Usbvideo.sys	Not applicable	3,881	8-Oct-20	7:14	Not applicable	None	Not applicable
Usbvideo.sys	Not applicable	3,645	8-Oct-20	7:14	Not applicable	None	Not applicable
Usbxhci.sys	Not applicable	6,611	8-Oct-20	7:14	Not applicable	None	Not applicable
Usbxhci.sys	Not applicable	6,282	8-Oct-20	7:14	Not applicable	None	Not applicable
Vhdmp.sys	Not applicable	4,873	8-Oct-20	7:14	Not applicable	None	Not applicable
Vhdmp.sys	Not applicable	4,675	8-Oct-20	7:14	Not applicable	None	Not applicable
Volmgr.sys	Not applicable	2,879	8-Oct-20	7:14	Not applicable	None	Not applicable
Volmgr.sys	Not applicable	3,062	8-Oct-20	7:14	Not applicable	None	Not applicable
Usbaudio.sys	Not applicable	664	8-Oct-20	7:14	Not applicable	None	Not applicable
Usbaudio.sys	Not applicable	618	8-Oct-20	7:14	Not applicable	None	Not applicable
Wpdmtp.dll	Not applicable	2,798	8-Oct-20	7:14	Not applicable	None	Not applicable
Wpdmtpbt.dll	Not applicable	183	8-Oct-20	7:14	Not applicable	None	Not applicable
Wpdmtpdr.dll	Not applicable	195	8-Oct-20	7:14	Not applicable	None	Not applicable
Wpdmtpip.dll	Not applicable	187	8-Oct-20	7:14	Not applicable	None	Not applicable
Wpdmtpus.dll	Not applicable	186	8-Oct-20	7:14	Not applicable	None	Not applicable
Wpdmtp.dll	Not applicable	2,199	8-Oct-20	7:14	Not applicable	None	Not applicable
Wpdmtpbt.dll	Not applicable	179	8-Oct-20	7:14	Not applicable	None	Not applicable
Wpdmtpdr.dll	Not applicable	191	8-Oct-20	7:14	Not applicable	None	Not applicable
Wpdmtpip.dll	Not applicable	182	8-Oct-20	7:14	Not applicable	None	Not applicable
Wpdmtpus.dll	Not applicable	181	8-Oct-20	7:14	Not applicable	None	Not applicable
Vmbus.sys	Not applicable	2,904	8-Oct-20	7:14	Not applicable	None	Not applicable
Vmbuspipe.dll	Not applicable	2,618	8-Oct-20	7:14	Not applicable	None	Not applicable
Vmbus.sys	Not applicable	2,897	8-Oct-20	7:14	Not applicable	None	Not applicable
Vmbuspipe.dll	Not applicable	2,600	8-Oct-20	7:14	Not applicable	None	Not applicable
Fdssdp.dll	Not applicable	1,593	8-Oct-20	7:14	Not applicable	None	Not applicable
Fdssdp.mof	Not applicable	50	8-Oct-20	7:14	Not applicable	None	Not applicable
Fdssdp.dll	Not applicable	1,497	8-Oct-20	7:14	Not applicable	None	Not applicable
Fdwsd.dll	Not applicable	2,792	8-Oct-20	7:14	Not applicable	None	Not applicable
Fdwsd.mof	Not applicable	50	8-Oct-20	7:14	Not applicable	None	Not applicable
Fdwsd.dll	Not applicable	2,660	8-Oct-20	7:15	Not applicable	None	Not applicable
Hvsocket.dll	Not applicable	2,608	8-Oct-20	7:14	Not applicable	None	Not applicable
Mtcmodel.dll	Not applicable	2,462	8-Oct-20	7:14	Not applicable	SPO	X86_MEDIATRANSP
Mtcmodel.dll	Not applicable	2,232	8-Oct-20	7:14	Not applicable	SPO	X86_MEDIATRANSP
Amsi.dll	Not applicable	252	8-Oct-20	7:14	Not applicable	None	Not applicable
Amsiproxy.dll	Not applicable	177	8-Oct-20	7:14	Not applicable	None	Not applicable
Amsi.dll	Not applicable	248	8-Oct-20	7:14	Not applicable	None	Not applicable
Amsiproxy.dll	Not applicable	173	8-Oct-20	7:14	Not applicable	None	Not applicable
Clipc.dll	Not applicable	2,938	8-Oct-20	7:14	Not applicable	None	Not applicable
Licensingdiag.exe	Not applicable	11,880	8-Oct-20	7:14	Not applicable	None	Not applicable
Oemlicense.dll	Not applicable	5,462	8-Oct-20	7:14	Not applicable	None	Not applicable
Clipc.dll	Not applicable	3,096	8-Oct-20	7:14	Not applicable	None	Not applicable
Licensingdiag.exe	Not applicable	11,849	8-Oct-20	7:14	Not applicable	None	Not applicable
